LURN_SAK,INCIDENT_DATE,INCIDENT_REPORTED_DATE,CATEGORY,STAT,STAT_DESC,ADDRESS,STREET,CITY,ZIP,INCIDENT_ID,REPORTING_DISTRICT,SEQ,GANG_RELATED,UNIT_ID,UNIT_NAME,DELETED
18526886,3/23/18 11:54,3/23/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"PIONEER BLVD AND WASHINGTON BLVD, WHITTIER, CA  90606",PIONEER BLVD AND WASHINGTON BLVD,WHITTIER,90606,918-02062-1578,1578,2062,NO,CA0190015,PICO RIVERA,N
18552742,4/18/18 9:54,4/18/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"BANNING ST AND ALAMEDA ST, COMPTON, CA",BANNING ST AND ALAMEDA ST,COMPTON,,918-05414-2820,2820,5414,NO,CA0190042,COMPTON,N
18738853,10/27/18 8:51,10/27/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"NOGALES ST AND 60 FWY, ROWLAND HEIGHTS, CA",NOGALES ST AND 60 FWY,ROWLAND HEIGHTS,,918-07212-2931,2931,7212,NO,CA0190020,WALNUT,N
18728345,10/16/18 13:31,10/16/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"2600 OLIVE ST, WALNUT, CA",2600 OLIVE ST,WALNUT,,918-15116-2178,2178,15116,NO,CA01900V3,CENTURY,N
18584267,5/19/18 17:00,5/19/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"FLORENCE AVE AND WHITSETT AVE, LOS ANGELES, CA",FLORENCE AVE AND WHITSETT AVE,LOS ANGELES,,918-07359-2173,2173,7359,NO,CA01900V3,CENTURY,N
18528753,3/25/18 18:00,3/25/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"13400 LAMBERT RD, WHITTIER, CA",13400 LAMBERT RD,WHITTIER,,918-04663-0491,491,4663,NO,CA0190004,NORWALK,N
18548208,4/13/18 13:00,4/13/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"2400 114TH ST, LOS ANGELES, CA",2400 114TH ST,LOS ANGELES,,918-05505-2135,2135,5505,NO,CA01900V3,CENTURY,N
18665313,8/12/18 8:43,8/12/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"HOOPER AVE AND FIRESTONE BLVD, LOS ANGELES, CA",HOOPER AVE AND FIRESTONE BLVD,LOS ANGELES,,918-11635-2174,2174,11635,NO,CA01900V3,CENTURY,N
18613024,6/17/18 5:00,6/17/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"10000 MILLS AVE, WHITTIER, CA  90604",10000 MILLS AVE,WHITTIER,90604,918-09260-0492,492,9260,NO,CA0190004,NORWALK,N
18549368,4/14/18 19:28,4/14/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"19500 E CYPRESS ST, COVINA, CA  91724",19500 E CYPRESS ST,COVINA,91724,918-01934-0870,870,1934,NO,CA0190008,SAN DIMAS,N
18691625,9/8/18 12:10,9/8/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"1800 FLORENCE AVE, LOS ANGELES, CA  90001",1800 FLORENCE AVE,LOS ANGELES,90001,918-13129-2173,2173,13129,NO,CA01900V3,CENTURY,N
18633894,7/10/18 1:30,7/10/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"500 ARROW HWY, SAN DIMAS, CA  91773",500 ARROW HWY,SAN DIMAS,91773,918-03577-0814,814,3577,NO,CA0190008,SAN DIMAS,N
18709649,9/27/18 10:14,9/27/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"4100 W AVENUE L, LANCASTER, CA",4100 W AVENUE L,LANCASTER,,918-19836-1182,1182,19836,NO,CA0190024,LANCASTER,N
18536917,4/3/18 13:12,4/3/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"7600 BELL AVE, LOS ANGELES, CA",7600 BELL AVE,LOS ANGELES,,918-04963-2173,2173,4963,NO,CA01900V3,CENTURY,N
18526248,3/22/18 18:48,3/22/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"FLORENCE AVE AND GRAHAM AVE, LOS ANGELES, CA",FLORENCE AVE AND GRAHAM AVE,LOS ANGELES,,918-04357-2173,2173,4357,NO,CA01900V3,CENTURY,N
